epoch,split,loss
0,train,0.24845259429717903
0,val,0.19096853037675224
1,train,0.18766007217980646
1,val,0.18260695186478124
2,train,0.1799525651298839
2,val,0.17353563236969496
3,train,0.17472071295534122
3,val,0.1736994369162453
4,train,0.1735899776517385
4,val,0.1725102336318405
5,train,0.16898725535908365
5,val,0.16477468386292454
6,train,0.16964797186985364
6,val,0.1670708727781418
7,train,0.16880316599028894
7,val,0.16494364363175845
8,train,0.1644167659640326
8,val,0.1686666042992362
9,train,0.16496838975141198
9,val,0.16738153295936412
10,train,0.16490360802870938
10,val,0.16607532799243935
11,train,0.16512367792092947
11,val,0.15978899170403138
12,train,0.1648042049706256
12,val,0.1546364027454896
13,train,0.16460087632984038
13,val,0.1645990624471948
14,train,0.16573759591109608
14,val,0.16177973283661742
15,train,0.16231879583063968
15,val,0.15815903754146013
16,train,0.16098632118523856
16,val,0.1559625412854884
17,train,0.16119715326920667
17,val,0.16040640213975202
18,train,0.1614538445030737
18,val,0.1675528669246921
19,train,0.1611215335058303
19,val,0.16755035751395755
20,train,0.15840297099458966
20,val,0.16315826786061124
21,train,0.1596476010104096
21,val,0.16427365740140287
22,train,0.15851942827458998
22,val,0.16161249895338659
23,train,0.15693919982942103
23,val,0.15752821189385874
24,train,0.15750056769490575
24,val,0.15991635526771902
25,train,0.1601086531985148
25,val,0.16686340862954113
26,train,0.15567435426458265
26,val,0.15030777465414116
27,train,0.15776107696718986
27,val,0.16489846215203954
28,train,0.15586302148077474
28,val,0.16556518718048377
29,train,0.15755099847257198
29,val,0.160391953146016
30,train,0.15884312811648185
30,val,0.1655851432570705
31,train,0.15782270983278096
31,val,0.15979070588946345
32,train,0.1582821437237077
32,val,0.15552283078432083
33,train,0.15551945109237905
33,val,0.15557886146836808
34,train,0.15775540054500045
34,val,0.1653688592491326
35,train,0.15525494107343166
35,val,0.1610633393680608
36,train,0.15844649087729876
36,val,0.1534398782584403
37,train,0.15778802676889525
37,val,0.15049842140740816
38,train,0.15576467229826757
38,val,0.16425195289430788
39,train,0.15727162445826212
39,val,0.15729862429477554
40,train,0.15612965703222256
40,val,0.15571224297638292
41,train,0.15676434310434834
41,val,0.163082032126409
42,train,0.1546560357965864
42,val,0.15687075124846567
43,train,0.15674741159677233
43,val,0.15785925311070903
44,train,0.15551363546691507
44,val,0.1604965257147948
